City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,broken hill,-31.95,141.4333,23.08,37,97,4.14,AU,1682409478
294,kangding,30.0513,101.9603,8.45,91,100,2.71,CN,1682409478
295,mont-dore,-22.2833,166.5833,25.56,99,99,5.04,NC,1682409479
296,diego de almagro,-26.3667,-70.05,14.39,53,0,0.97,CL,1682409479
297,loukhi,66.0764,33.0381,0.57,83,32,1.54,RU,1682409479
298,visby,57.6409,18.296,10.02,100,75,4.12,SE,1682409479
299,al ghayzah,16.2079,52.176,32.05,51,8,5.1,YE,1682409479
300,antonio enes,-16.2325,39.9086,28.12,61,80,4.72,MZ,1682409480
301,sona,45.4388,10.8255,13.66,88,75,3.6,IT,1682409480
302,igrim,63.1906,64.4162,2.26,100,100,2.07,RU,1682409480
303,port moresby,-9.4431,147.1797,29.68,79,40,8.23,PG,1682409480
304,tazacorte,28.629,-17.9293,18.54,81,20,3.6,ES,1682409481
305,sicuani,-14.2694,-71.2261,4.35,92,14,1.49,PE,1682409481
306,casper,42.8666,-106.3131,7.07,65,97,0.89,US,1682409481
307,csorna,47.6115,17.2501,13.34,63,79,7.33,HU,1682409482
308,el nido,11.1858,119.3956,29.78,66,63,2.56,PH,1682409482
309,salinopolis,-0.6136,-47.3561,25.68,86,100,2.84,BR,1682409482
310,robore,-18.3333,-59.75,20.13,98,27,1.64,BO,1682409482
311,chestertown,39.209,-76.0666,8.99,76,2,3.26,US,1682409483
312,zambezi,-13.5432,23.1047,25.27,48,68,3.61,ZM,1682409483
313,manado,1.487,124.8455,32.43,66,40,2.06,ID,1682409360
314,mili,6.0815,171.735,28.13,79,100,6.83,MH,1682409483
315,qaqortoq,60.7167,-46.0333,0.44,89,98,0.89,GL,1682409484
316,kidal,18.4411,1.4078,31.01,10,0,4.06,ML,1682409484
317,fort st. john,56.2499,-120.8529,1.94,80,75,4.63,CA,1682409484
318,moranbah,-22.0016,148.0466,22.37,57,3,6.49,AU,1682409240
319,altai,46.3722,96.2583,7.91,34,100,11.52,MN,1682409485
320,banda aceh,5.5577,95.3222,31.58,62,95,5.2,ID,1682409485
321,zav'yalovo,56.7847,53.3776,21.33,32,41,5.17,RU,1682409485
322,antalaha,-14.9003,50.2788,29.28,67,7,2.51,MG,1682409485
323,san rafael,-34.6177,-68.3301,14.33,58,0,1.62,AR,1682409486
324,namibe,-15.1961,12.1522,25.58,63,40,1.91,AO,1682409486
325,hotan,37.0997,79.9269,25.77,8,9,3.85,CN,1682409486
326,khandyga,62.6667,135.6,1.27,88,100,0.97,RU,1682409278
327,fauske,67.2588,15.3918,2.75,64,44,2.27,NO,1682409486
328,kwang binh,17.4833,106.6,28.55,72,24,3.68,VN,1682409369
329,lauro de freitas,-12.8944,-38.3272,27.01,74,40,3.09,BR,1682409487
330,shwebo,22.5667,95.7,39.97,18,2,3.61,MM,1682409487
331,jincheng,35.5022,112.8328,17.75,34,3,8.52,CN,1682409488
332,miandrivazo,-19.5167,45.4667,28.68,51,0,0.86,MG,1682409488
333,plastun,44.7561,136.2939,8.6,62,100,5.6,RU,1682409488
334,adilcevaz,38.8039,42.7342,9.32,49,31,1.35,TR,1682409488
335,qarqaraly,49.4058,75.4742,12.71,38,85,4.96,KZ,1682409488
336,zahedan,29.4963,60.8629,28.95,11,75,6.17,IR,1682409432
337,tolanaro,-25.0319,46.9987,26.04,65,20,4.63,MG,1682409489
338,ijmuiden,52.4573,4.6111,8.84,68,20,3.6,NL,1682409489
339,pontianak,-0.0333,109.3333,32.99,58,75,2.57,ID,1682409489
340,portrush,55.1959,-6.6493,5.93,59,7,3.37,GB,1682409489
341,sovetskaya gavan',48.9723,140.2878,5.31,58,100,3.62,RU,1682409490
342,nuku'alofa,-21.1333,-175.2,24.19,78,75,2.57,TO,1682409490
343,luderitz,-26.6481,15.1594,22.28,60,0,3.94,NA,1682409490
344,waimanalo,21.35,-157.7208,23.86,88,81,0.45,US,1682409490
345,chonchi,-42.6128,-73.8092,10.56,98,100,2.17,CL,1682409490
346,murghob,38.1702,73.9667,2.14,39,95,2.06,TJ,1682409491
347,san andres,12.5847,-81.7006,27.01,69,20,2.06,CO,1682409491
348,keflavik,64.0049,-22.5624,2.24,64,75,6.17,IS,1682409491
349,kargasok,59.0556,80.8572,2.76,51,97,8.14,RU,1682409491
350,nizhneangarsk,55.7833,109.55,-0.4,60,92,0.57,RU,1682409492
351,bni bouayach,35.1022,-3.841,19.31,60,0,2.06,MA,1682409492
352,minas de marcona,-15.2119,-75.1103,16.26,87,37,3.32,PE,1682409492
353,dromore,54.5167,-7.4667,4.76,63,8,1.52,GB,1682409493
354,al qaryatayn,34.2296,37.2407,19.02,27,8,2.81,SY,1682409493
355,yelizovo,53.1873,158.3805,5.08,44,75,5.0,RU,1682409493
356,ouadda,8.0777,22.4007,33.7,36,23,0.77,CF,1682409494
357,hakui,36.8833,136.7833,13.16,77,100,2.29,JP,1682409280
358,jiquipilas,16.6667,-93.65,21.91,90,100,0.56,MX,1682409494
359,cabedelo,-6.9811,-34.8339,24.37,87,68,3.56,BR,1682409494
360,virginia beach,36.8529,-75.978,9.45,90,39,2.35,US,1682409494
361,el alto,-4.2714,-81.2147,24.18,83,20,0.58,PE,1682409494
